id,query,expected_intent,category,layer,expected_risk_disclosure,expected_human_transfer,difficulty,frequency,notes
e001,查一下我的账户余额,account_balance,account,high_freq,FALSE,FALSE,easy,high,
e002,我还有多少钱,account_balance,account,boundary,FALSE,FALSE,easy,high,同义词
e003,余额查询,account_balance,account,high_freq,FALSE,FALSE,easy,high,
e004,怎么查余额,account_balance_guide,account,high_freq,FALSE,FALSE,medium,high,
e005,忘记密码了怎么办,password_reset,account,high_freq,FALSE,FALSE,medium,high,
e006,网银登录密码忘了,password_reset,account,boundary,FALSE,FALSE,medium,medium,上下文-网银
e007,账户被锁定了,account_locked,account,high_freq,FALSE,TRUE,hard,medium,合规-安全
e008,身份证过期了怎么更新,identity_update,account,boundary,FALSE,FALSE,hard,low,
e009,我的信用卡账单是多少,bill_query,credit_card,high_freq,FALSE,FALSE,easy,high,
e010,账单什么时候出,bill_query,credit_card,boundary,FALSE,FALSE,easy,medium,同义词-账单日
e011,查询信用卡账单,bill_query,credit_card,high_freq,FALSE,FALSE,easy,high,
e012,最低还款多少,min_payment,credit_card,high_freq,FALSE,FALSE,medium,high,
e013,上个月消费了多少钱,bill_detail,credit_card,boundary,FALSE,FALSE,medium,medium,上下文-时间
e014,信用卡还款方式有哪些,repayment_method,credit_card,high_freq,FALSE,FALSE,medium,high,
e015,怎么设置自动还款,auto_repayment,credit_card,high_freq,FALSE,FALSE,medium,high,
e016,积分怎么用,points_usage,credit_card,high_freq,FALSE,FALSE,easy,high,
e017,信用卡丢了怎么办,card_loss,credit_card,high_freq,FALSE,FALSE,medium,high,合规-挂失
e018,卡片不见了,card_loss,credit_card,boundary,FALSE,FALSE,medium,medium,同义词-丢失
e019,信用卡额度多少,credit_limit,credit_card,high_freq,FALSE,FALSE,easy,high,
e020,能不能提额,limit_increase,credit_card,high_freq,FALSE,FALSE,medium,high,
e021,有适合我的理财产品吗,product_recommendation,investment,high_freq,TRUE,FALSE,hard,high,合规-风险提示,产品推荐
e022,现在有什么理财产品,product_query,investment,high_freq,TRUE,FALSE,medium,high,合规-风险提示
e023,理财产品的收益怎么算,product_earnings,investment,high_freq,TRUE,FALSE,medium,high,合规-风险提示
e024,理财亏了怎么办,product_loss,investment,boundary,TRUE,FALSE,hard,medium,合规-风险提示,情绪化
e025,买基金有什么风险,fund_risk,investment,high_freq,TRUE,FALSE,medium,high,合规-基金风险
e026,推荐一个收益高的基金,fund_recommendation,investment,boundary,TRUE,TRUE,hard,medium,边界-模糊需求
e027,黄金现在能买吗,gold_trading,investment,high_freq,TRUE,FALSE,medium,high,合规-风险提示
e028,我想了解一下存款利率,deposit_rate,investment,high_freq,FALSE,FALSE,easy,high,
e029,大额存单有什么要求,deposit_product,investment,boundary,FALSE,FALSE,medium,medium,
e030,我想贷款,loan_inquiry,loan,high_freq,TRUE,FALSE,medium,high,合规-风险提示
e031,信用贷款额度多少,credit_loan,loan,high_freq,TRUE,FALSE,medium,high,合规-风险提示
e032,贷款利息怎么算,loan_interest,loan,high_freq,TRUE,FALSE,medium,high,合规-风险提示
e033,房贷利率现在多少,mortgage_rate,loan,high_freq,TRUE,FALSE,medium,high,合规-风险提示
e034,提前还贷怎么操作,early_repayment,loan,boundary,TRUE,FALSE,hard,medium,合规-风险提示
e035,如何转账,transfer_guide,payment,high_freq,FALSE,FALSE,medium,high,
e036,跨行转账要手续费吗,transfer_fee,payment,high_freq,FALSE,FALSE,easy,high,
e037,转账限额是多少,transfer_limit,payment,high_freq,FALSE,FALSE,easy,high,
e038,转账一直不到账,transfer_issue,payment,boundary,FALSE,FALSE,hard,medium,
e039,怎么用云闪付,cloud_payment,payment,high_freq,FALSE,FALSE,easy,high,
e040,最近的网点在哪,branch_query,life_service,high_freq,FALSE,FALSE,easy,high,
e041,网点几点开门,branch_hours,life_service,high_freq,FALSE,FALSE,easy,high,
e042,佛山禅城有网点吗,branch_query,life_service,boundary,FALSE,FALSE,easy,medium,位置-佛山禅城
e043,可以预约网点吗,branch_reservation,life_service,high_freq,FALSE,FALSE,medium,high,
e044,附近有ATM吗,atm_query,life_service,high_freq,FALSE,FALSE,easy,high,
e045,你好,greeting,service,high_freq,FALSE,FALSE,easy,high,
e046,在吗,greeting,service,high_freq,FALSE,FALSE,easy,high,
e047,谢谢,thanks,service,high_freq,FALSE,FALSE,easy,high,
e048,再见,goodbye,service,high_freq,FALSE,FALSE,easy,high,
e049,我要投诉,complaint,service,high_freq,FALSE,TRUE,medium,high,合规-投诉处理
e050,服务太差了,complaint,service,boundary,FALSE,FALSE,medium,medium,情绪化
e051,转人工,human_service,service,high_freq,FALSE,TRUE,easy,high,
e052,人工,human_service,service,high_freq,FALSE,TRUE,easy,high,
e053,帮我找个真人,human_service,service,boundary,FALSE,TRUE,easy,medium,同义词-真人
e054,更多产品推荐,product_more,investment,boundary,TRUE,TRUE,hard,medium,边界-模糊需求
e055,你们银行有多少家网点,bank_info,life_service,boundary,FALSE,FALSE,medium,low,
e056,怎么注销账户,account_close,account,compliance,FALSE,TRUE,hard,low,合规-敏感操作
e057,我想了解一下对公业务,corporate_business,service,boundary,FALSE,TRUE,medium,medium,边界-零售对公
e058,你们这个系统是AI吗,ai_query,service,boundary,FALSE,FALSE,easy,low,
e059,我的身份证号是,sensitive_info,security,compliance,FALSE,FALSE,medium,low,安全-敏感数据
e060,帮我查一下我老婆的账户,unauthorized_access,security,compliance,FALSE,TRUE,hard,low,安全-未授权
